title,percentage,cash,time
MUTIRÃO DA SAÚDE PATAXÓ,17%,R$ 5.195,21 dias
Livro Vão de Dentro,56%,R$ 4.388,11 dias
RJ - Construção 1910 - Rodrigo Lois,48%,R$ 3.855,16 dias
Necron 2,48%,R$ 3.683,8 dias
RJ - Construção 1910 - Ana Bivar,42%,R$ 3.380,16 dias
 Dona Sorte,26%,R$ 3.125,43 dias
Na Lata,20%,R$ 3.030,32 dias
Campanha DARK Capcom Pro Tour 2019 - CPT2019,18%,R$ 2.720,Iniciado há<br />108 dias
RJ - Construção 1910 - Juliana Aragão,32%,R$ 2.630,16 dias
Os Delírios Musicais - O Livro,32%,R$ 2.270,Iniciado há<br />163 dias
Pré-venda do livro Salinas,18%,R$ 1.800,62 dias
Dininho,7%,R$ 1.595,144 dias
Plataforma Abayomi: faça parte dessa história!,4%,R$ 1.303,39 dias
 Ágono - Brasil CyberPunk,0%,R$ 1.064,48 dias
Firepit - Legacy,24%,R$ 1.020,46 dias
Belleville - Edição especial,3%,R$ 980,31 dias
Calciopédia Store,12%,R$ 820,45 dias
Lançamento Direitos Já - Fórum pela Democracia,1%,R$ 795,Iniciado há<br />8 dias
A Rua das Tulipas,2%,R$ 725,47 dias
Construção da Casa/teatro,1%,R$ 720,Iniciado há<br />80 dias
Um Mar de Beijos,3%,R$ 655,52 dias
Medalha Zero - HQ Nº2,4%,R$ 640,143 dias
"PLÁSTICAmente"	 um curta-metragem "Bio-Musical",0%,R$ 615,40 dias
Samhain,11%,R$ 555,50 dias
Mesa Digitalizadora,46%,R$ 555,Iniciado há<br />18 dias
Publicação do livro Herdeiro de Asgard,3%,R$ 530,82 dias
Experiências Extraordinárias,2%,R$ 500,18 dias
RP - Construção 1911 - Mariane Zanotti,6%,R$ 495,30 dias
III MULHERES NA TRAVESSA,4%,R$ 370,Iniciado há<br />20 dias
plant.A.tiva,10%,R$ 330,3 dias
Redescobrindo Natal,1%,R$ 270,10 dias
Coletânea Negritude,3%,R$ 215,21 dias
Notas de uma Navegante,3%,R$ 185,55 dias
SEFEUSP 2019,17%,R$ 170,10 dias
Estalagem Invernal,3%,R$ 158,58 dias
Resistência Potiguara - A Websérie,1%,R$ 150,20 dias
Relato de uma vida,4%,R$ 135,40 dias
Ajude a publicar 2 livros por apenas $10	00!,7%,R$ 135,17 dias
Série "Bola na Rede": Episódio piloto,0%,R$ 130,157 dias
Sanfona Nova para João do Vale do Pati,0%,R$ 100,Iniciado há<br />3 dias
"Ágatha",0%,R$ 75,40 dias
Publicação do livro "Sobre Ela	 Sobre Mim",2%,R$ 75,54 dias
Publique Conosco - Editora Eterna,2%,R$ 60,11 dias
@UauLivro,0%,R$ 35,Iniciado há<br />5 dias
"Eu Estou Aqui" - Curta Metragem,1%,R$ 35,Iniciado há<br />9 dias
Livro Dilema - Eshilley Cutrim ,2%,R$ 20,Iniciado há<br />6 dias
Tarô do Folclore,2%,R$ 10,48 dias
Intercept Brasil,541%,R$ 324.899,
TVT ,47%,R$ 28.532,
Jornalistas pela democracia,49%,R$ 24.562,
Mamilos Podcast,97%,R$ 24.487,
Educar para Liberdade,5%,R$ 15.040,Iniciado há<br />243 dias
Comida e Cafuné,51%,R$ 12.250,23 dias
LIVRO : DIMENSIONAMENTO DE VIGAS PROTENDIDAS,18%,R$ 11.646,Iniciado há<br />266 dias
MTST - 20 anos de luta e resistência,98%,R$ 9.825,
Teoria da Conspiração,122%,R$ 9.809,
AntiCast,88%,R$ 8.866,
Instituto Piano Brasileiro,58%,R$ 7.526,
Verdazzo,47%,R$ 7.169,
Cinema em Cena,88%,R$ 7.117,
Caixa Zero Beta,78%,R$ 7.040,
Mantenha o Fluxo,86%,R$ 6.887,
Eu financio a Mídia NINJA,67%,R$ 6.799,
De Pequenos a Grandes Palcos,5%,R$ 6.365,Iniciado há<br />121 dias
Celsinho Silva/Nas Ondas da Noite,16%,R$ 6.150,60 dias
Me dá sua mão! #Gabrielzinho,30%,R$ 6.115,9 dias
Cores do Brasil,1%,R$ 5.625,61 dias
Curattio Odontologia - Emergência 24h,1%,R$ 5.625,Iniciado há<br />289 dias
Confins do Universo & Universo HQ,84%,R$ 5.463,
Lua de Mel Ronaldo e Fernanda,10%,R$ 5.340,66 dias
800 Jumentos Precisam de Ajuda,10%,R$ 5.322,
Ciência Todo Dia,74%,R$ 5.205,
Construa PONTE,85%,R$ 4.931,
SP Invisível,66%,R$ 4.672,
Conhecimentos da Humanidade,23%,R$ 4.635,
Projeto Comida Saudável pra Todos,76%,R$ 4.572,
Amigos do Zé Trajano - Ultrajano,73%,R$ 4.388,
3º Congresso Latino Americano de Go,7%,R$ 4.345,Iniciado há<br />58 dias
Geek Freak,74%,R$ 4.112,
Clube do Um Sábado Qualquer,55%,R$ 3.867,
No Paddock da F1 com a Ju,76%,R$ 3.845,
Patreon Anderson França ,125%,R$ 3.765,
Assine AzMina,36%,R$ 3.691,
Human Day 2019 ,8%,R$ 3.690,41 dias
Apoie o Canal Aberta,61%,R$ 3.682,
Salve o Controle de Armas!,4%,R$ 3.660,Iniciado há<br />295 dias
Eu apoio a Arquitetura na Periferia,73%,R$ 3.656,
QuebraDev no BrazilJS,120%,R$ 3.620,8 horas
Assine o Nocaute,16%,R$ 3.375,
Antares de Escorpião,45%,R$ 3.340,33 dias
As Crônicas Ridell,110%,R$ 3.304,12 dias
Guia de Plantas Medicinais da Chapada Diamantina,8%,R$ 3.275,132 dias
A Dani precisa de vc,30%,R$ 3.220,
A CAIXA MÁGICA DOS PRIMEIROS SOCORROS,3%,R$ 3.220,44 dias
Meeple Maniacs,53%,R$ 3.200,
Clube WarpZone,69%,R$ 3.140,
De bailarina à circense.,9%,R$ 3.025,5 dias
Sidnei Lee Art,100%,R$ 3.015,
Por uma impressora incendiária,107%,R$ 2.923,20 dias
Amigos da Apepi,48%,R$ 2.890,
Adote umx educandx - Maria Felipa,34%,R$ 2.855,
O Senhor de Feras,69%,R$ 2.799,Iniciado há<br />141 dias
Bem na Fita,37%,R$ 2.789,72 dias
Casa Nordeste na Colômbia,3%,R$ 2.785,40 dias
Le Monde Diplomatique Brasil,27%,R$ 2.757,
IMPRESSÃO DE 20 MIL CARTILHAS,8%,R$ 2.755,29 dias
Paz e Bem,27%,R$ 2.712,
Game Chinchila,47%,R$ 2.699,
Rio de Paz ,13%,R$ 2.545,
Irmãos por escolha,2%,R$ 2.514,Iniciado há<br />247 dias
A Gaveta de Aurélia,125%,R$ 2.500,19 dias
DESENHOS DA MINHA INFÂNCIA,13%,R$ 2.440,22 dias
Ginecologista Sincera,53%,R$ 2.417,
Livro-Brinquedo Britto Velho Artistas Gaúchos nº1 ,6%,R$ 2.380,Iniciado há<br />85 dias
Canto da Terra,76%,R$ 2.304,
DOCUMENTÁRIO MILLENNIAL DYSTOPIA,2%,R$ 2.300,Iniciado há<br />307 dias
Clube da Aquarela,73%,R$ 2.206,
Instituto Gabi,12%,R$ 2.205,36 dias
Soul RefugiADUS,22%,R$ 2.200,38 dias
Finalização do novo Album da Der Baum,21%,R$ 2.189,70 dias
Lilás - O Documentário,108%,R$ 2.170,Iniciado há<br />128 dias
Longa-Metragem "Se Eu For	 o Que Fica?",10%,R$ 2.120,Iniciado há<br />16 dias
mimimidias,88%,R$ 2.117,
Maré Geek,84%,R$ 2.100,
MacMagazine.com.br,13%,R$ 2.085,
H. H. Holmes	 psicopata americano,22%,R$ 2.076,162 dias
O mundo das camisas de futebol,34%,R$ 2.073,73 dias
Arte Saudável - Teatro infantil,44%,R$ 2.000,32 dias
Não Me Chame Assim,8%,R$ 1.960,Iniciado há<br />304 dias
Equipe iGEM UFMG,4%,R$ 1.950,Iniciado há<br />210 dias
O mundo segundo Ana Roxo,96%,R$ 1.930,
As Vozes do Liberdade,17%,R$ 1.880,12 dias
NOW — New Order Warriors: Revista de RPG,80%,R$ 1.860,
Ajude uma estudante de medicina a ir a Harvard,7%,R$ 1.850,Iniciado há<br />304 dias
Bravo,22%,R$ 1.830,39 dias
Centro de Referência e Memória dos Vales,2%,R$ 1.770,Iniciado há<br />159 dias
Manual do Usuário,38%,R$ 1.749,
JUDAO.com.br,21%,R$ 1.742,
POR UM FIO,11%,R$ 1.738,Iniciado há<br />120 dias
