title,percentage,cash,time
SAPO CÉSIO,151%,R$ 54.670,
Ajude o Renato a estudar no Vale do Silício,272%,R$ 54.560,
No Espelho (livro infantil),112%,R$ 54.400,
Savage Worlds: Edição Brasileira,414%,R$ 53.925,
Documentário: Rastro de lama,106%,R$ 53.700,
Manual da Boa Mãe	 livro de Michelle Lapouble,135%,R$ 53.503,
Reconstruindo o Porto Social,26%,R$ 53.465,
Pétalas ,1068%,R$ 53.427,
Jovem O Suficiente - O Livro,464%,R$ 53.421,
Revista Arquitetas Invisíveis n˚ 01,114%,R$ 53.406,
Natal Invisível - Ceia nas Ruas ,127%,R$ 53.376,
Lei da Mídia Democrática no Brasil,106%,R$ 53.352,
MDMA no Consultório / MDMA for PTSD,106%,R$ 53.340,
Músicas & Animação para Crianças,111%,R$ 53.291,
Expedição MundoMaker,106%,R$ 53.240,
O HOMEM BRUXA PRECISA LEVITAR,102%,R$ 53.237,
Sérgio Jorge 60 anos de Fotojornalismo,106%,R$ 53.071,
The Strange RPG,131%,R$ 52.727,
Comunhão,106%,R$ 52.655,
Grupo Cena 11 - Continuidade e Vestígio,116%,R$ 52.551,
Cemitério de Automóveis (REFORMA DO TEATRO),104%,R$ 52.476,
Casa e Chão,124%,R$ 52.350,
Relançamento do livro Todo DJ Já Sambou,114%,R$ 52.318,
Como diria meu gato,243%,R$ 52.274,
Causos,104%,R$ 52.255,
Livro Mães do Cárcere,104%,R$ 52.235,
Resistência CLUB NOIR,173%,R$ 52.151,
Apoie o Espaço Comum Luiz Estrela,115%,R$ 52.122,
Talk-show do Rafucko,103%,R$ 51.965,
PESCOTAPA NA PANTERA,346%,R$ 51.948,
CryptoRave 2016,115%,R$ 51.934,
Condenado,106%,R$ 51.778,
Die die DIE! - Board Game,258%,R$ 51.683,
321: Fast Comics - Vol. 2,172%,R$ 51.645,
O Mundo por Terra teve equipamentos roubados,101%,R$ 51.595,
Due Laser,103%,R$ 51.592,
SUPER PESO BRASIL,116%,R$ 51.425,
Livro: Trajetória do cinema de animação no Brasil,127%,R$ 51.312,
