title,percentage,project_url,cash,time
HOMEM-CARRO	 doc <<com e sobre>> Anísio Campos,120%,/homem-carro-doc-com-e-sobre-anisio-campos?ref=ctrse_explore,R$ 69.267,20/08/2012
Dias de Horror - Chiaroscuro Studios Yearbook 2017,275%,/diasdehorror?ref=ctrse_explore,R$ 68.880,19/10/2017
171,118%,/171bgg?ref=ctrse_explore,R$ 68.839,11/01/2019
Sinfonia da Reforma: Escola de Música da OSPA,116%,/sinfoniadareforma?ref=ctrse_explore,R$ 68.688,25/04/2014
 Petroleum é nosso!,137%,/petroleum?ref=ctrse_explore,R$ 68.649,10/05/2014
LIVRO-RADIER,110%,/livro-radier?ref=ctrse_explore,R$ 68.293,09/02/2016
SP Sem Frio 2019,79%,/spsemfrio2019?ref=ctrse_explore,R$ 67.825,05/07/2019
Labyrinx Board Game,271%,/labyrinx?ref=ctrse_explore,R$ 67.767,09/05/2017
Enciclopédia Do Incrível ao Bizarro,240%,/enciclopedia?ref=ctrse_explore,R$ 67.711,08/01/2019
Cartas de Magias,109%,/cartas_de_magias?ref=ctrse_explore,R$ 67.638,23/06/2018
Combo Rangers,168%,/comborangers?ref=ctrse_explore,R$ 67.540,19/02/2013
Livro Viajo logo Existo no Velho Continente,224%,/vlelivro2?ref=ctrse_explore,R$ 67.474,30/05/2015
Politize!,104%,/politize?ref=ctrse_explore,R$ 67.395,26/10/2014
Campo Dr. Sócrates Brasileiro ,112%,/campodrsocratesbrasileiro?ref=ctrse_explore,R$ 67.269,20/08/2016
#Uneafroresiste,113%,/uneafrobrasil?ref=ctrse_explore,R$ 66.912,28/06/2017
na pele - Um Musical Off-Broadway,107%,/napelemusical?ref=ctrse_explore,R$ 66.677,16/09/2018
 AIESEC no Brasil e Instituto Elos levam projeto Oasis a 11 comunidades,110%,/oasis?ref=ctrse_explore,R$ 66.373,16/06/2013
Documentário "Arquitetura como prática política",113%,/usina25?ref=ctrse_explore,R$ 65.923,11/10/2015
Téo & O Mini Mundo: O LIVRO,331%,/teoeominimundo?ref=ctrse_explore,R$ 65.628,20/06/2019
Você Fiscal—Fiscalize a eleição	 garanta seu voto,218%,/VoceFiscal?ref=ctrse_explore,R$ 65.540,21/08/2014
Amigos da Casa Plana,109%,/plana?ref=ctrse_explore,R$ 65.425,28/06/2016
TORO (sereno até perder a calma),72%,/toro_amp?ref=ctrse_explore,R$ 65.077,27/04/2016
Skyfall RPG,202%,/skyfallrpg?ref=ctrse_explore,R$ 64.885,15/02/2019
Epicentro,129%,/epicentro2014?ref=ctrse_explore,R$ 64.878,06/09/2014
Imperial 2030,259%,/imperial2030?ref=ctrse_explore,R$ 64.869,17/08/2016
Scambo "Animal",129%,/scambo?ref=ctrse_explore,R$ 64.669,02/09/2016
Documentário Chega de Fiu Fiu ,322%,/videochegadefiufiu?ref=ctrse_explore,R$ 64.433,16/01/2015
PIMP MY CARROÇA,167%,/pimpmycarroca?ref=ctrse_explore,R$ 63.950,11/05/2012
Araruama - O Livro das Raízes,255%,/araruama2?ref=ctrse_explore,R$ 63.931,20/08/2018
Sertão como se fala ,101%,/sertaocomosefala?ref=ctrse_explore,R$ 63.822,21/11/2014
[+18] Nudus Magazine #6 - Edição de 3 Anos.,201%,/nudusmagazine6?ref=ctrse_explore,R$ 63.745,14/10/2018
Livres,105%,/livres?ref=ctrse_explore,R$ 63.170,30/01/2015
A Sinfonia do Infinito - Filme,185%,/a_sinfonia_do_infinito_filme_abc1?ref=ctrse_explore,R$ 63.075,28/01/2018
A Fantástica Fábrica de Golpes,52%,/fabricadegolpes?ref=ctrse_explore,R$ 62.703,09/06/2018
FUTBOARD,348%,/futboard?ref=ctrse_explore,R$ 62.669,15/08/2018
Back to the Game CaioGallucci ,104%,/caiogallucci?ref=ctrse_explore,R$ 62.660,29/06/2018
Rio Itaúnas Sempre Vivo,103%,/rioitaunas?ref=ctrse_explore,R$ 62.212,15/09/2017
Série Restus,116%,/serierestus?ref=ctrse_explore,R$ 62.126,05/06/2014
IoT Surfboard,206%,/surfboard?ref=ctrse_explore,R$ 62.020,22/10/2015
Documentário Resgate 30 anos (Título Provisório),51%,/documentario_30_anos_banda_resgate_c2c8?ref=ctrse_explore,R$ 61.708,13/04/2019
O ATELIER - uma exposição	 um curta metragem,104%,/edgarduvivier?ref=ctrse_explore,R$ 61.670,26/10/2013
Livro "Ícones dos Quadrinhos",181%,/icones?ref=ctrse_explore,R$ 61.665,20/08/2013
ANAVITÓRIA | Nosso primeiro disco,128%,/discoanavitoria?ref=ctrse_explore,R$ 61.505,16/02/2016
Nijinsky em Avignon,122%,/nijinsky?ref=ctrse_explore,R$ 61.476,31/01/2015
Valente - O amor em jogo,944%,/valente?ref=ctrse_explore,R$ 61.387,18/10/2018
#SPSemFrio,114%,/spinvisivel_spsemfrio?ref=ctrse_explore,R$ 61.175,15/06/2017
Retratos pra Yayá,135%,/retratosprayaya?ref=ctrse_explore,R$ 61.166,16/09/2016
Nacra 17 nas olímpiadas Rio 2016,111%,/NacraRio2016?ref=ctrse_explore,R$ 61.161,23/11/2014
imaginavc,109%,/imaginavc?ref=ctrse_explore,R$ 61.147,08/05/2015
A sede do Barão Precisa de Você! Doe!,122%,/a_sede_do_barao?ref=ctrse_explore,R$ 61.140,24/02/2019
Portal da campanha “Quem são os Proprietários do Brasil?”,108%,/portalproprietariosdobrasil?ref=ctrse_explore,R$ 60.998,05/04/2013
DREAM:IN Brasil,101%,/dream-in-brasil?ref=ctrse_explore,R$ 60.900,03/06/2012
Ajude a Nath a fazer pesquisa em Harvard,214%,/nath_harvard?ref=ctrse_explore,R$ 60.817,22/01/2019
Livro Terra Adentro Do Ártico ao Saara de Carro,173%,/terraadentro2?ref=ctrse_explore,R$ 60.790,03/01/2019
Runicards - Card game cooperativo de ação e aventura!,506%,/runicards?ref=ctrse_explore,R$ 60.786,19/04/2013
ASTOLAT - O Mundo Particular de Parzifal e Elaine,139%,/astolat?ref=ctrse_explore,R$ 59.854,28/06/2019
Vida de Criança: CD	 show e clipe colaborativo,114%,/isadoracanto?ref=ctrse_explore,R$ 59.680,31/05/2016
"O Filho dos Outros" - websérie sobre a redução da maioridade penal no Brasil,118%,/ofilhodosoutros?ref=ctrse_explore,R$ 59.425,02/09/2015
Chamado de Cthulhu,155%,/chamadodecthulhu?ref=ctrse_explore,R$ 59.276,25/12/2013
Livro Fé Latina,111%,/livrofelatina?ref=ctrse_explore,R$ 59.260,24/11/2017
Livro Terra Adentro Entre os Extremos das Américas,185%,/terraadentro?ref=ctrse_explore,R$ 59.242,14/12/2017
Apanhador Só - Segundo Álbum,132%,/apanhadorso?ref=ctrse_explore,R$ 59.188,13/09/2012
Tiquequê - DVD Era Uma Vez Um Gigante,107%,/dvdgigante?ref=ctrse_explore,R$ 59.180,13/07/2015
All Type Tarot,787%,/alltype_tarot?ref=ctrse_explore,R$ 59.098,07/12/2018
UMA REFORMA	 90 FUTUROS,66%,/uma_reforma_90_futuros_50da?ref=ctrse_explore,R$ 58.957,10/07/2019
Reportagem Pública,124%,/reportagempublica?ref=ctrse_explore,R$ 58.935,21/09/2013
Carolina Sá - Teseu,102%,/carolinasateseu?ref=ctrse_explore,R$ 58.705,14/07/2018
Ônibus Hacker,146%,/onibus-hacker?ref=ctrse_explore,R$ 58.593,19/07/2011
Catálogo 11ª Bienal ADG 2015,130%,/CatalogoBienalADG2015?ref=ctrse_explore,R$ 58.569,20/09/2015
Livro: Os Quadrinhos da Editora Abril,233%,/abril?ref=ctrse_explore,R$ 58.431,17/02/2019
Rosa Rosah	 "É Bom",100%,/RosaRosah_E_Bom?ref=ctrse_explore,R$ 58.400,05/04/2017
13ª Era RPG,176%,/13aerarpg?ref=ctrse_explore,R$ 58.390,05/09/2015
Beagá pra brincar,120%,/beagaprabrincar?ref=ctrse_explore,R$ 58.330,19/06/2017
Will Tirando | O Livro,269%,/willtirando?ref=ctrse_explore,R$ 57.856,10/05/2015
Livro "Viajo logo Existo na África Selvagem",180%,/vleafrica?ref=ctrse_explore,R$ 57.806,30/05/2016
Expedição Vivalá ,115%,/vivala?ref=ctrse_explore,R$ 57.785,14/12/2015
Calendário Ilustrado Athos Bulcão 2018,104%,/calendarioathosbulcao2018?ref=ctrse_explore,R$ 57.541,29/11/2017
Ajude a Manter os Nossos Seminaristas por 1 Mês!,57%,/seminariomaiorbsb?ref=ctrse_explore,R$ 57.148,30/11/2015
Expedição Garupa – Chapada do Araripe	 Piauí,96%,/expedicaogarupapiaui?ref=ctrse_explore,R$ 57.130,19/12/2015
Diego Fernandes - Novo CD ,126%,/DiegoFernandesNovoCD?ref=ctrse_explore,R$ 57.121,07/08/2015
Além dos Trilhos,228%,/trilhos?ref=ctrse_explore,R$ 57.090,06/10/2016
Circo Zanni: O Espetáculo não para. Tem sequência!,98%,/circozanni2016?ref=ctrse_explore,R$ 57.070,12/12/2016
S.A.S. Brasil 3 :-) :-) :-),100%,/sasbrasil3?ref=ctrse_explore,R$ 56.950,27/07/2015
O palco nos une,113%,/opalconosune?ref=ctrse_explore,R$ 56.827,07/11/2014
PrimeiroLivro: 300 crianças escrevendo seus livros,113%,/primeirolivro?ref=ctrse_explore,R$ 56.572,04/11/2015
Bariloche	 10 anos de AVC.,171%,/bariloche_10_anos_de_avc_AACD_86de?ref=ctrse_explore,R$ 56.520,20/07/2017
Balbúrdia	 O Filme.,105%,/balburdia_o_filme?ref=ctrse_explore,R$ 56.095,04/08/2019
Interações Mente-Matéria,116%,/mentemateria?ref=ctrse_explore,R$ 56.069,29/11/2015
Cólera - Disco Novo (Acorde! Acorde! Acorde!),121%,/colera?ref=ctrse_explore,R$ 55.973,07/03/2018
LIVRO “VOLTA AO MUNDO EM 12 ESCOLAS”,116%,/livro-volta-ao-mundo-em-12-escolas?ref=ctrse_explore,R$ 55.956,09/11/2012
Lankhmar,185%,/lankhmar?ref=ctrse_explore,R$ 55.704,23/12/2017
Grupo Triii - CD Dia e Noite,100%,/grupotriii?ref=ctrse_explore,R$ 55.516,01/09/2017
10 Anos de Bolovo - o Livro,110%,/10anosbolovo?ref=ctrse_explore,R$ 55.428,01/09/2016
Dharma 2017. Fotos da Índia	 Nepal e do Brasil.,57%,/dharma2017?ref=ctrse_explore,R$ 55.330,11/10/2017
Dora e a gata: o livro,196%,/doraeagata?ref=ctrse_explore,R$ 55.050,13/08/2019
Além da Cura - Beyond the Cure,109%,/alemdacura_1?ref=ctrse_explore,R$ 54.840,13/12/2015
