contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
2557 pessoas,Meta R$ 500.000,R$ 285.346,Campanha Flexível , São Paulo	 SP,Um Brasil justo	 pra Todos e pra Lula,57%,R$ 285.346,24/12/2016,/justopratodos?ref=ctrse_explore
3193 pessoas,Meta R$ 50.000,R$ 284.891,Campanha Tudo-ou-nada , São Paulo	 SP,Livro "Um Sábado Qualquer",569%,R$ 284.891,05/08/2017,/umsabadoqualquer?ref=ctrse_explore
3099 pessoas,Meta R$ 60.000,R$ 258.501,Campanha Tudo-ou-nada , São Paulo	 SP,Dead Fish @ Disco Novo,430%,R$ 258.501,25/07/2014,/deadfishoficial?ref=ctrse_explore
6049 pessoas,Meta R$ 125.000,R$ 258.487,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,A Lenda do Herói - O Jogo,206%,R$ 258.487,20/09/2014,/alendadoheroi?ref=ctrse_explore
334 pessoas,Meta R$ 35.000,R$ 253.300,Campanha Tudo-ou-nada , Curitiba	 PR,Cafeteira Aram,723%,R$ 253.300,17/11/2016,/cafeteiraaram?ref=ctrse_explore
929 pessoas,Meta R$ 20.000,R$ 241.814,Campanha Tudo-ou-nada , Juiz de Fora	 MG,Masmorra De DADOS,1209%,R$ 241.814,06/10/2014,/masmorra?ref=ctrse_explore
903 pessoas,Meta R$ 94.377,R$ 241.400,Campanha Tudo-ou-nada , São Paulo	 SP,Livro Prédios de São Paulo Vol. 3,255%,R$ 241.400,31/10/2017,/prediosdesaopaulolivro3?ref=ctrse_explore
607 pessoas,Meta R$ 20.000,R$ 240.232,Campanha Tudo-ou-nada , Goiânia	 GO,Kimeron Miniaturas,1201%,R$ 240.232,06/02/2018,/kimeronminiaturas?ref=ctrse_explore
917 pessoas,Meta R$ 40.000,R$ 231.555,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Chamado de Cthulhu,578%,R$ 231.555,02/02/2018,/chamado_de_cthulhu?ref=ctrse_explore
876 pessoas,Meta R$ 120.000,R$ 204.592,Campanha Tudo-ou-nada , São Paulo	 SP,Reedição: Dicionário e Guia de Arquitetura,170%,R$ 204.592,27/06/2017,/livrosdepeso?ref=ctrse_explore
708 pessoas,Meta R$ 30.000,R$ 200.358,Campanha Flexível , Belo Horizonte	 MG,Deli&Co. | A frigideira de ferro repensada ,667%,R$ 200.358,19/02/2017,/frigideira_delico?ref=ctrse_explore
665 pessoas,Meta R$ 30.000,R$ 200.238,Campanha Tudo-ou-nada , São Paulo	 SP,Livros Sagrados de Thelema,667%,R$ 200.238,22/03/2018,/thelema?ref=ctrse_explore
143 pessoas,Meta R$ 45.000,R$ 189.121,Campanha Tudo-ou-nada , Juiz de Fora	 MG,A Song of Ice & Fire - Jogo de Miniaturas,420%,R$ 189.121,11/06/2019,/songoficeandfire?ref=ctrse_explore
1309 pessoas,Meta R$ 160.000,R$ 186.309,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Forfun - DVD Ao Vivo no Circo Voador,116%,R$ 186.309,19/12/2012,/forfun?ref=ctrse_explore
533 pessoas,Meta R$ 40.000,R$ 179.130,Campanha Tudo-ou-nada , São Paulo	 SP,RPGQuest,447%,R$ 179.130,11/05/2017,/rpgquest?ref=ctrse_explore
742 pessoas,Meta R$ 50.000,R$ 173.185,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Shadowrun 5ª Edição RPG,346%,R$ 173.185,22/08/2017,/shadowrun?ref=ctrse_explore
309 pessoas,Meta R$ 151.000,R$ 170.844,Campanha Tudo-ou-nada , Pindamonhangaba	 SP,Bhagavad-Gita Como Ele É,113%,R$ 170.844,31/10/2017,/bhagavad_gita?ref=ctrse_explore
1032 pessoas,Meta R$ 130.000,R$ 167.434,Campanha Tudo-ou-nada , São Paulo	 SP,PAUL SINGER - Uma história do Brasil,128%,R$ 167.434,13/07/2017,/paulsinger?ref=ctrse_explore
1756 pessoas,Meta R$ 100.000,R$ 164.133,Campanha Flexível , São Paulo	 SP,O Menino e o Mundo no Oscar 2016,164%,R$ 164.133,29/02/2016,/meninonooscar?ref=ctrse_explore
2319 pessoas,Meta R$ 120.000,R$ 161.305,Campanha Flexível , São Paulo	 SP,Pesquisa Vox/247 - Segundo turno,134%,R$ 161.305,28/10/2018,/pesquisa_vox_247_segundo_turno_773b?ref=ctrse_explore
927 pessoas,Meta R$ 60.000,R$ 158.074,Campanha Tudo-ou-nada , São Paulo	 SP,Os Quarenta Servidores,263%,R$ 158.074,09/12/2018,/quarentaservidores?ref=ctrse_explore
794 pessoas,Meta R$ 57.416,R$ 157.586,Campanha Tudo-ou-nada , São Paulo	 SP,Livro Prédios de São Paulo Vol. 2,274%,R$ 157.586,26/10/2016,/prediosdesaopaulo?ref=ctrse_explore
1854 pessoas,Meta R$ 20.000,R$ 151.412,Campanha Flexível , São Paulo	 SP,Contos dos Orixás - Pré-Venda,757%,R$ 151.412,18/01/2019,/contos_dos_orixas_pre_venda?ref=ctrse_explore
328 pessoas,Meta R$ 20.000,R$ 149.801,Campanha Tudo-ou-nada , Recife	 PE,Miniaturas de RPG em PVC,749%,R$ 149.801,27/03/2019,/miniaturas_pawns_em_pvc_ce41?ref=ctrse_explore
756 pessoas,Meta R$ 500.000,R$ 148.949,Campanha Flexível , Guarulhos	 SP,Cartas de Kardec ,29%,R$ 148.949,01/01/2019,/cartasdekardec?ref=ctrse_explore
1917 pessoas,Meta R$ 120.000,R$ 148.141,Campanha Tudo-ou-nada , São Paulo	 SP,Episódio Piloto - As Aventuras de Léca e Seus Amigos,123%,R$ 148.141,15/06/2013,/leca?ref=ctrse_explore
402 pessoas,Meta R$ 42.300,R$ 146.874,Campanha Tudo-ou-nada , Santa Maria	 RS,Projeto Dreaming Dogs – Ruling Pens,347%,R$ 146.874,26/04/2016,/dreamingdogs?ref=ctrse_explore
1305 pessoas,Meta R$ 124.000,R$ 141.205,Campanha Tudo-ou-nada , Altamira	 PA,Refugiados de Belo Monte,113%,R$ 141.205,21/10/2016,/refugiadosdebelomonte?ref=ctrse_explore
3391 pessoas,Meta R$ 114.000,R$ 140.010,Campanha Tudo-ou-nada , São Paulo	 SP,Belo Monte - Anúncio de uma Guerra,122%,R$ 140.010,21/12/2011,/belo-monte-anuncio-de-uma-guerra?ref=ctrse_explore
623 pessoas,Meta R$ 50.000,R$ 138.508,Campanha Flexível , São Paulo	 SP,WarpZone Essencial: Street Fighter,277%,R$ 138.508,20/04/2018,/streetfighter?ref=ctrse_explore
571 pessoas,Meta R$ 120.000,R$ 137.710,Campanha Tudo-ou-nada , São Paulo	 SP,Catálogo da 12ª Bienal de Design Gráfico 2017,114%,R$ 137.710,17/05/2017,/12BienalDesign?ref=ctrse_explore
1515 pessoas,Meta R$ 26.720,R$ 137.477,Campanha Tudo-ou-nada , São Paulo	 SP,Contos de Fadas Nórdicos,514%,R$ 137.477,08/10/2018,/contosnordicos?ref=ctrse_explore
1904 pessoas,Meta R$ 125.000,R$ 136.467,Campanha Tudo-ou-nada , São Paulo	 SP,Livres e Iguais!,109%,R$ 136.467,08/05/2019,/livreseiguais?ref=ctrse_explore
814 pessoas,Meta R$ 120.000,R$ 135.232,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Leoni - CD Notícias de Mim,112%,R$ 135.232,23/12/2014,/leoni?ref=ctrse_explore
1797 pessoas,Meta R$ 10.000,R$ 133.218,Campanha Tudo-ou-nada , Brumadinho	 MG,Fundo Aliança Brumadinho,1332%,R$ 133.218,10/03/2019,/brumadinhogritasocorro?ref=ctrse_explore
1292 pessoas,Meta R$ 100.000,R$ 132.730,Campanha Tudo-ou-nada , São Paulo	 SP,Seja Jornalista Livre!,132%,R$ 132.730,08/07/2015,/jornalistaslivres?ref=ctrse_explore
302 pessoas,Meta R$ 30.000,R$ 132.716,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Ancient Terrible Things - Board Game,442%,R$ 132.716,10/08/2017,/att?ref=ctrse_explore
228 pessoas,Meta R$ 130.000,R$ 131.397,Campanha Tudo-ou-nada , São Paulo	 SP,Chaguim Ledor Vador,101%,R$ 131.397,13/05/2016,/chaguim?ref=ctrse_explore
453 pessoas,Meta R$ 130.000,R$ 131.170,Campanha Flexível , Itapecuru Mirim	 MA,Rega Santa Rosa,100%,R$ 131.170,05/08/2018,/regasantarosadospretos?ref=ctrse_explore
572 pessoas,Meta R$ 39.500,R$ 130.601,Campanha Tudo-ou-nada , Curitiba	 PR,Oráculo Houhou,330%,R$ 130.601,16/12/2018,/oraculohouhou?ref=ctrse_explore
626 pessoas,Meta R$ 50.000,R$ 130.541,Campanha Flexível , São Paulo	 SP,WarpZone Essencial Resident Evil,261%,R$ 130.541,10/02/2019,/ResidentEvil?ref=ctrse_explore
1480 pessoas,Meta R$ 120.000,R$ 130.335,Campanha Tudo-ou-nada , São Paulo	 SP,#Eu_Jean Wyllys,108%,R$ 130.335,27/11/2015,/eujean?ref=ctrse_explore
422 pessoas,Meta R$ 100.000,R$ 128.459,Campanha Tudo-ou-nada , Itajaí	 SC,Somos do Mar Itinerante,128%,R$ 128.459,20/12/2018,/somosdomar?ref=ctrse_explore
2776 pessoas,Meta R$ 100.000,R$ 127.352,Campanha Flexível , São Paulo	 SP,Pesquisa Vox 247,127%,R$ 127.352,28/09/2018,/vox247?ref=ctrse_explore
2392 pessoas,Meta R$ 80.000,R$ 127.310,Campanha Tudo-ou-nada , São Paulo	 SP,99Vidas - O Jogo,159%,R$ 127.310,29/09/2015,/99vidas?ref=ctrse_explore
1612 pessoas,Meta R$ 55.000,R$ 123.278,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,CD Raimundos - Cantigas de Roda,224%,R$ 123.278,30/09/2013,/raimundos?ref=ctrse_explore
1659 pessoas,Meta R$ 90.000,R$ 122.242,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Intercept Brasil nas eleições,135%,R$ 122.242,07/09/2018,/tibnaseleicoes?ref=ctrse_explore
886 pessoas,Meta R$ 40.000,R$ 119.276,Campanha Tudo-ou-nada , Guarulhos	 SP,Nos Passos do Mestre,298%,R$ 119.276,08/08/2013,/nospassosdomestre?ref=ctrse_explore
324 pessoas,Meta R$ 40.000,R$ 118.775,Campanha Tudo-ou-nada , São Paulo	 SP,RPGQuest - Dungeons,296%,R$ 118.775,17/09/2018,/rpgquest_dungeons?ref=ctrse_explore
497 pessoas,Meta R$ 20.000,R$ 115.837,Campanha Tudo-ou-nada , Curitiba	 PR,Falkenstein,579%,R$ 115.837,06/04/2018,/falkenstein?ref=ctrse_explore
1020 pessoas,Meta R$ 100.000,R$ 115.655,Campanha Tudo-ou-nada , Fortaleza	 CE,DVD - Missionário Shalom,115%,R$ 115.655,18/06/2015,/missionarioshalom?ref=ctrse_explore
865 pessoas,Meta R$ 83.759,R$ 115.355,Campanha Tudo-ou-nada , São Paulo	 SP,Chicos: The Book,137%,R$ 115.355,08/07/2016,/aboutchicos?ref=ctrse_explore
1232 pessoas,Meta R$ 80.000,R$ 114.444,Campanha Tudo-ou-nada , Fortaleza	 CE,Trajes Fatais,143%,R$ 114.444,31/03/2017,/trajes_fatais?ref=ctrse_explore
790 pessoas,Meta R$ 30.000,R$ 113.934,Campanha Flexível , Porto Alegre	 RS,Calcinhas menstruais Herself,379%,R$ 113.934,11/04/2018,/calcinhasherself?ref=ctrse_explore
693 pessoas,Meta R$ 25.000,R$ 113.801,Campanha Flexível , São Paulo	 SP,WarpZone Essencial: The King of Fighters,455%,R$ 113.801,17/10/2017,/kof?ref=ctrse_explore
683 pessoas,Meta R$ 78.828,R$ 112.983,Campanha Tudo-ou-nada , São Paulo	 SP,Casacadabra | livro de arquitetura para crianças,143%,R$ 112.983,14/06/2016,/casacadabra?ref=ctrse_explore
812 pessoas,Meta R$ 87.300,R$ 112.422,Campanha Tudo-ou-nada , Brasília	 DF,Documentário Me Farei Ouvir,128%,R$ 112.422,12/08/2019,/mefareiouvir?ref=ctrse_explore
396 pessoas,Meta R$ 100,R$ 112.246,Campanha Tudo-ou-nada , Curitiba	 PR,Mouse Guard RPG,112246%,R$ 112.246,05/10/2018,/mouse_guard?ref=ctrse_explore
600 pessoas,Meta R$ 67.294,R$ 112.243,Campanha Flexível , Rio de Janeiro	 RJ,KELY vai pra BERKLEE!,166%,R$ 112.243,26/07/2018,/kely_vai_pra_berklee_9104?ref=ctrse_explore
651 pessoas,Meta R$ 62.161,R$ 111.497,Campanha Tudo-ou-nada , São Paulo	 SP,São Paulo Eixo Z,179%,R$ 111.497,08/12/2018,/eixoz?ref=ctrse_explore
468 pessoas,Meta R$ 98.000,R$ 110.957,Campanha Tudo-ou-nada , Porto Alegre	 RS,Meu Amigo Nico,113%,R$ 110.957,19/05/2017,/meuamigonico?ref=ctrse_explore
904 pessoas,Meta R$ 109.540,R$ 110.858,Campanha Tudo-ou-nada , São Paulo	 SP,Trabalho decente,101%,R$ 110.858,18/05/2015,/trabalhodecente?ref=ctrse_explore
205 pessoas,Meta R$ 100.000,R$ 109.686,Campanha Tudo-ou-nada , Belo Horizonte	 MG,Facas Deli&Co + K.Sabatier | Forjadas com história,109%,R$ 109.686,24/02/2019,/facas_delico_ksabatier?ref=ctrse_explore
465 pessoas,Meta R$ 88.000,R$ 107.746,Campanha Tudo-ou-nada , São Paulo	 SP,Catálogo 10ª Bienal ADG,122%,R$ 107.746,09/12/2013,/CatalogoBienalADG?ref=ctrse_explore
524 pessoas,Meta R$ 40.000,R$ 107.713,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Shadow of the Demon Lord RPG,269%,R$ 107.713,14/11/2016,/demonlord?ref=ctrse_explore
743 pessoas,Meta R$ 100.000,R$ 107.622,Campanha Tudo-ou-nada , São Paulo	 SP,#FicaBrincante,107%,R$ 107.622,26/06/2015,/ficabrincante?ref=ctrse_explore
481 pessoas,Meta R$ 40.000,R$ 107.295,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,7º Mar,268%,R$ 107.295,18/01/2017,/7omar?ref=ctrse_explore
1992 pessoas,Meta R$ 90.900,R$ 106.181,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Domínio Público,116%,R$ 106.181,16/11/2012,/dominiopublico?ref=ctrse_explore
327 pessoas,Meta R$ 50.000,R$ 104.779,Campanha Tudo-ou-nada , São Paulo	 SP,Enciclopédia de Mitologia,209%,R$ 104.779,24/04/2019,/mitologia?ref=ctrse_explore
1660 pessoas,Meta R$ 70.000,R$ 104.012,Campanha Tudo-ou-nada , Araraquara	 SP,Liniker e os Caramelows lançam o álbum REMONTA,148%,R$ 104.012,22/07/2016,/liniker?ref=ctrse_explore
656 pessoas,Meta R$ 100.000,R$ 103.859,Campanha Flexível , Belo Horizonte	 MG,IV Encontro Nacional de Agroecologia - ENA,103%,R$ 103.859,15/05/2018,/ivena1?ref=ctrse_explore
489 pessoas,Meta R$ 50.000,R$ 102.290,Campanha Tudo-ou-nada , São Paulo	 SP,Lindo Sonho Delirante 2,204%,R$ 102.290,14/06/2018,/lsd2?ref=ctrse_explore
522 pessoas,Meta R$ 86.758,R$ 100.630,Campanha Tudo-ou-nada , São Paulo	 SP,Casacadabra 2: Cidades para Brincar,115%,R$ 100.630,15/06/2018,/casacadabra2?ref=ctrse_explore
526 pessoas,Meta R$ 70.000,R$ 99.665,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Starfinder,142%,R$ 99.665,15/12/2018,/Starfinder?ref=ctrse_explore
549 pessoas,Meta R$ 30.000,R$ 99.539,Campanha Flexível , São Paulo	 SP,WarpZone Mega Drive Definitivo,331%,R$ 99.539,10/04/2017,/megadrive?ref=ctrse_explore
873 pessoas,Meta R$ 57.983,R$ 99.265,Campanha Tudo-ou-nada , São Paulo	 SP,Livro do SP Invisível ,171%,R$ 99.265,19/11/2016,/acidadequeninguemve?ref=ctrse_explore
1466 pessoas,Meta R$ 87.500,R$ 99.063,Campanha Flexível , São Paulo	 SP,Felicidade fechada,113%,R$ 99.063,17/11/2016,/felicidade_fechada_c7cd?ref=ctrse_explore
501 pessoas,Meta R$ 83.000,R$ 98.778,Campanha Tudo-ou-nada , São Paulo	 SP,Cidade Cinza - O Filme,119%,R$ 98.778,13/09/2013,/cidadecinza?ref=ctrse_explore
307 pessoas,Meta R$ 79.690,R$ 98.623,Campanha Tudo-ou-nada , São Paulo	 SP,Jaguaretê: um livro em homenagem à Onça-Pintada,123%,R$ 98.623,23/06/2017,/araquem?ref=ctrse_explore
385 pessoas,Meta R$ 35.000,R$ 98.602,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,DCC RPG,281%,R$ 98.602,21/03/2017,/DCCRPG?ref=ctrse_explore
303 pessoas,Meta R$ 95.000,R$ 98.594,Campanha Tudo-ou-nada , São Paulo	 SP,Livro Arena Corinthians	 Tu És Orgulho,103%,R$ 98.594,09/12/2017,/livroarenacorinthians?ref=ctrse_explore
337 pessoas,Meta R$ 90.000,R$ 96.993,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Ritos do Nascer ao Parir,107%,R$ 96.993,18/04/2018,/ritos?ref=ctrse_explore
544 pessoas,Meta R$ 95.000,R$ 96.909,Campanha Tudo-ou-nada , São Paulo	 SP,Apoie o Le Monde Diplomatique Brasil,102%,R$ 96.909,02/02/2018,/apoieodiplo?ref=ctrse_explore
484 pessoas,Meta R$ 35.000,R$ 95.528,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Ars Magica Quinta Edição,272%,R$ 95.528,20/06/2018,/arsmagica?ref=ctrse_explore
382 pessoas,Meta R$ 85.000,R$ 95.270,Campanha Tudo-ou-nada , São Paulo	 SP,DHARMA. Fotos da Índia e do Nepal.,112%,R$ 95.270,15/11/2015,/dharma?ref=ctrse_explore
383 pessoas,Meta R$ 22.000,R$ 94.963,Campanha Tudo-ou-nada , São Paulo	 SP,Grasse - Mestres Perfumistas,431%,R$ 94.963,24/09/2018,/grasse?ref=ctrse_explore
222 pessoas,Meta R$ 83.300,R$ 94.935,Campanha Tudo-ou-nada , São Paulo	 SP,Arquitetura em Retrospectiva,113%,R$ 94.935,22/09/2017,/arquitetura_em_retrospectiva?ref=ctrse_explore
450 pessoas,Meta R$ 70.000,R$ 94.703,Campanha Tudo-ou-nada , São Paulo	 SP,CryptoRave 2019 - 3 e 4 de maio,135%,R$ 94.703,12/04/2019,/cryptorave2019?ref=ctrse_explore
962 pessoas,Meta R$ 42.000,R$ 93.531,Campanha Tudo-ou-nada , São Paulo	 SP,Livro "Viajo logo Existo 1 ano na Ásia & Oceania",222%,R$ 93.531,26/12/2016,/vle?ref=ctrse_explore
548 pessoas,Meta R$ 29.000,R$ 92.125,Campanha Tudo-ou-nada , São Paulo	 SP,Pequenas Igrejas	 Grandes Negócios,317%,R$ 92.125,22/06/2014,/pign?ref=ctrse_explore
1067 pessoas,Meta R$ 79.257,R$ 91.818,Campanha Tudo-ou-nada , São Paulo	 SP,Natal Invisível 2018 - O Amor Ilumina,115%,R$ 91.818,20/12/2018,/natalinvisivel2018?ref=ctrse_explore
776 pessoas,Meta R$ 50.000,R$ 90.705,Campanha Tudo-ou-nada , São Paulo	 SP,Carol Biazin | Meu Projeto Autoral,181%,R$ 90.705,24/10/2018,/carolbiazin?ref=ctrse_explore
618 pessoas,Meta R$ 86.200,R$ 90.162,Campanha Tudo-ou-nada , Recife	 PE,Além da Cura,104%,R$ 90.162,13/06/2018,/alemdacura2018?ref=ctrse_explore
67 pessoas,Meta R$ 89.000,R$ 90.020,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Festival Internacional de Artes de Tiradentes: Artes Vertentes,101%,R$ 90.020,30/08/2014,/artesvertentes2014?ref=ctrse_explore
674 pessoas,Meta R$ 25.000,R$ 88.851,Campanha Flexível , São Paulo	 SP,LENDAS | Chiaroscuro Studios Yearbook 2018,355%,R$ 88.851,05/11/2018,/lendas?ref=ctrse_explore
966 pessoas,Meta R$ 50.409,R$ 88.388,Campanha Flexível , São Paulo	 SP,Ajude Rafael a estudar em Harvard,175%,R$ 88.388,31/12/2017,/hms?ref=ctrse_explore
89 pessoas,Meta R$ 150.000,R$ 88.170,Campanha Flexível , Belo Horizonte	 MG,Novas salas para a Miguel Arcanjo,58%,R$ 88.170,17/11/2016,/novas_salas_para_a_miguel_arcanjo_82e0?ref=ctrse_explore
1360 pessoas,Meta R$ 75.851,R$ 86.594,Campanha Tudo-ou-nada , São Paulo	 SP,Natal Invisível 2017 - Natal Para Todos,114%,R$ 86.594,14/12/2017,/spinvisivel_natal2017?ref=ctrse_explore
635 pessoas,Meta R$ 75.000,R$ 86.412,Campanha Tudo-ou-nada , São Paulo	 SP,Casa do Povo | Monumento Vivo ,115%,R$ 86.412,11/12/2015,/casadopovo?ref=ctrse_explore
912 pessoas,Meta R$ 67.000,R$ 86.146,Campanha Flexível , Rio de Janeiro	 RJ,Livro: América do Sul Sobre Rodas,128%,R$ 86.146,04/11/2016,/sobrerodas?ref=ctrse_explore
977 pessoas,Meta R$ 80.000,R$ 85.910,Campanha Tudo-ou-nada , Olinda	 PE,Guarani Kaiowá - Financiamento Coletivo,107%,R$ 85.910,13/01/2014,/kaiowa?ref=ctrse_explore
308 pessoas,Meta R$ 70.000,R$ 85.390,Campanha Tudo-ou-nada , São Paulo	 SP,Casa Jardim Secreto,121%,R$ 85.390,29/06/2017,/casajardimsecreto?ref=ctrse_explore
169 pessoas,Meta R$ 50.000,R$ 85.165,Campanha Tudo-ou-nada , Brasília	 DF,Flor do Moinho,170%,R$ 85.165,26/05/2015,/flordomoinho?ref=ctrse_explore
1134 pessoas,Meta R$ 80.000,R$ 84.483,Campanha Tudo-ou-nada , São Paulo	 SP,Reportagem Pública 2017,105%,R$ 84.483,27/10/2017,/reportagempublica2017?ref=ctrse_explore
311 pessoas,Meta R$ 79.140,R$ 84.345,Campanha Tudo-ou-nada , Porto Alegre	 RS,#ReturnMaosAObra,106%,R$ 84.345,06/11/2015,/maosaobra?ref=ctrse_explore
538 pessoas,Meta R$ 45.000,R$ 84.261,Campanha Tudo-ou-nada , São Paulo	 SP,Lindo Sonho Delirante	 o livro,187%,R$ 84.261,16/08/2016,/lsd?ref=ctrse_explore
385 pessoas,Meta R$ 63.822,R$ 84.075,Campanha Tudo-ou-nada , São Paulo	 SP,São Paulo e Suas Casas ,131%,R$ 84.075,21/02/2019,/spcasas?ref=ctrse_explore
534 pessoas,Meta R$ 74.500,R$ 83.080,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Olympia,111%,R$ 83.080,11/12/2015,/olympia?ref=ctrse_explore
634 pessoas,Meta R$ 100.405,R$ 82.446,Campanha Flexível , Rio de Janeiro	 RJ,#365nus | Livro e Exposição,82%,R$ 82.446,11/07/2016,/365nus?ref=ctrse_explore
563 pessoas,Meta R$ 70.000,R$ 80.979,Campanha Tudo-ou-nada , São Paulo	 SP,CryptoRave 2018,115%,R$ 80.979,06/04/2018,/cryptorave2018?ref=ctrse_explore
802 pessoas,Meta R$ 80.000,R$ 80.949,Campanha Flexível , Curitiba	 PR,Jornal Rascunho,101%,R$ 80.949,09/10/2017,/jornalrascunho?ref=ctrse_explore
815 pessoas,Meta R$ 60.342,R$ 80.767,Campanha Flexível , Rio de Janeiro	 RJ,SOS cannabis medicinal,133%,R$ 80.767,20/02/2017,/farmacanabis?ref=ctrse_explore
357 pessoas,Meta R$ 224.000,R$ 80.519,Campanha Flexível , Alto Paraíso de Goiás	 GO,Ampliando a Vila Verde,35%,R$ 80.519,30/11/2017,/escolavilaverde?ref=ctrse_explore
1296 pessoas,Meta R$ 61.280,R$ 80.424,Campanha Tudo-ou-nada , Porto Alegre	 RS,Operação Serenata de Amor,131%,R$ 80.424,06/11/2016,/serenata?ref=ctrse_explore
72 pessoas,Meta R$ 75.000,R$ 79.160,Campanha Flexível , São Paulo	 SP,Livro Graziela Pinto,105%,R$ 79.160,15/02/2017,/livro_graziela_pinto_96af?ref=ctrse_explore
964 pessoas,Meta R$ 70.000,R$ 79.055,Campanha Tudo-ou-nada , Belo Horizonte	 MG,PISEAGRAMA espaço público periódico,112%,R$ 79.055,21/11/2014,/piseagrama?ref=ctrse_explore
510 pessoas,Meta R$ 20.000,R$ 78.911,Campanha Flexível , São Paulo	 SP,Chiaroscuro Studios Yearbook 2016,394%,R$ 78.911,10/10/2016,/yearbook?ref=ctrse_explore
872 pessoas,Meta R$ 64.350,R$ 78.525,Campanha Tudo-ou-nada , Porto Alegre	 RS,Nei Lisboa – A Vida Inteira,122%,R$ 78.525,05/07/2013,/neilisboa?ref=ctrse_explore
363 pessoas,Meta R$ 20.000,R$ 78.138,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Tsukiji Board Game,390%,R$ 78.138,19/12/2017,/tsukiji?ref=ctrse_explore
677 pessoas,Meta R$ 45.000,R$ 77.590,Campanha Tudo-ou-nada , São Paulo	 SP,Livro DayTrippers - 1300 dias pelo mundo,172%,R$ 77.590,28/10/2016,/daytrippers?ref=ctrse_explore
875 pessoas,Meta R$ 67.237,R$ 77.363,Campanha Tudo-ou-nada , São Paulo	 SP,Filhos da Floresta | Bambi e Pocahontas,115%,R$ 77.363,06/05/2019,/filhosdafloresta?ref=ctrse_explore
575 pessoas,Meta R$ 57.379,R$ 76.925,Campanha Tudo-ou-nada , Belo Horizonte	 MG,desalinho,134%,R$ 76.925,08/05/2019,/guipoulain?ref=ctrse_explore
336 pessoas,Meta R$ 44.000,R$ 76.809,Campanha Tudo-ou-nada , São José dos Campos	 SP,Última Fortaleza: Um jogo em que você é o monstro!,174%,R$ 76.809,09/05/2014,/ultimafortaleza?ref=ctrse_explore
390 pessoas,Meta R$ 40.000,R$ 76.426,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Numenera,191%,R$ 76.426,07/01/2015,/Numenera?ref=ctrse_explore
75 pessoas,Meta R$ 65.440,R$ 76.310,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Festival Artes Vertentes,116%,R$ 76.310,28/08/2013,/artesvertentes?ref=ctrse_explore
571 pessoas,Meta R$ 30.000,R$ 76.065,Campanha Flexível , São Paulo	 SP,Motta Porn Zine,253%,R$ 76.065,27/09/2018,/motta_porn_zine?ref=ctrse_explore
96 pessoas,Meta R$ 75.000,R$ 75.965,Campanha Flexível , São Paulo	 SP,The Sky is Falling 2 - The Revenge of Foxy Roxy,101%,R$ 75.965,25/04/2017,/theskyisfalling2?ref=ctrse_explore
158 pessoas,Meta R$ 75.000,R$ 75.806,Campanha Tudo-ou-nada , São Paulo	 SP,Toda Coração,101%,R$ 75.806,19/07/2017,/todacoracao?ref=ctrse_explore
300 pessoas,Meta R$ 35.000,R$ 75.774,Campanha Tudo-ou-nada , Piracicaba	 SP,Selene The Fantasy ,216%,R$ 75.774,20/09/2013,/selenethefantasy?ref=ctrse_explore
345 pessoas,Meta R$ 68.000,R$ 74.957,Campanha Tudo-ou-nada , Florianópolis	 SC,Tour PodCycle - Veículo Elétrico Inteligente,110%,R$ 74.957,22/11/2015,/EvPodCycle?ref=ctrse_explore
788 pessoas,Meta R$ 130.000,R$ 74.689,Campanha Flexível , São Paulo	 SP,Fortaleça a Ponte Jornalismo,57%,R$ 74.689,19/05/2017,/fortalecapontejornalismo?ref=ctrse_explore
839 pessoas,Meta R$ 60.000,R$ 74.515,Campanha Tudo-ou-nada , Porto Alegre	 RS,Tormenta: O Desafio dos Deuses,124%,R$ 74.515,15/04/2013,/tormentadesafio?ref=ctrse_explore
324 pessoas,Meta R$ 70.000,R$ 73.860,Campanha Tudo-ou-nada , São Paulo	 SP,Fofuuu,105%,R$ 73.860,23/04/2018,/fofuuu?ref=ctrse_explore
