contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
282 pessoas,Meta R$ 40.000,R$ 35.940,Campanha Flexível , Taboão da Serra	 SP,Ajude a reformar nosso Centro de Formação,89%,R$ 35.940,29/06/2017,/ajude_mtst?ref=ctrse_explore
230 pessoas,Meta R$ 28.000,R$ 35.930,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Coleção Aldir 70,128%,R$ 35.930,09/08/2017,/aldir70?ref=ctrse_explore
178 pessoas,Meta R$ 35.000,R$ 35.888,Campanha Tudo-ou-nada , São Paulo	 SP,Livre Partida,102%,R$ 35.888,07/12/2014,/livrepartida?ref=ctrse_explore
466 pessoas,Meta R$ 50.000,R$ 35.865,Campanha Flexível , Rio de Janeiro	 RJ,Ajude Angela na Luta contra a Leucemia,71%,R$ 35.865,27/12/2017,/angelaediego?ref=ctrse_explore
172 pessoas,Meta R$ 32.826,R$ 35.860,Campanha Tudo-ou-nada , São Carlos	 SP,FRUTO DA LIDA.  Segundo CD de Rodrigo Zanc,109%,R$ 35.860,16/05/2013,/rodrigozanc?ref=ctrse_explore
168 pessoas,Meta R$ 33.402,R$ 35.819,Campanha Tudo-ou-nada , São Paulo	 SP,CD Paisagens da China ,107%,R$ 35.819,16/01/2017,/cd_ensemble_gao_shan_liu_shui?ref=ctrse_explore
444 pessoas,Meta R$ 30.000,R$ 35.719,Campanha Flexível , São Paulo	 SP,Maria Beraldo CAVALA,119%,R$ 35.719,09/04/2018,/mariaberaldo?ref=ctrse_explore
374 pessoas,Meta R$ 30.000,R$ 35.693,Campanha Tudo-ou-nada , São Paulo	 SP,Los Porongas - Terceiro Álbum,118%,R$ 35.693,16/08/2015,/losporongas?ref=ctrse_explore
254 pessoas,Meta R$ 25.000,R$ 35.670,Campanha Flexível , São Paulo	 SP,No Tempo da Chiquinha,142%,R$ 35.670,18/02/2018,/notempodachiquinha?ref=ctrse_explore
98 pessoas,Meta R$ 34.478,R$ 35.659,Campanha Tudo-ou-nada , São Paulo	 SP,Cidade Azul,103%,R$ 35.659,25/11/2015,/CidadeAzul?ref=ctrse_explore
120 pessoas,Meta R$ 35.000,R$ 35.620,Campanha Tudo-ou-nada , São Paulo	 SP,Leituras da Dança,101%,R$ 35.620,10/10/2014,/leiturasdadanca?ref=ctrse_explore
97 pessoas,Meta R$ 35.200,R$ 35.600,Campanha Tudo-ou-nada , São Paulo	 SP,Hackathon Paulista,101%,R$ 35.600,23/12/2015,/hackathonpaulista?ref=ctrse_explore
52 pessoas,Meta R$ 35.000,R$ 35.580,Campanha Tudo-ou-nada , Duque de Caxias	 RJ,Amanda Rodrigues - A verdade do evangelho em forma de canções,101%,R$ 35.580,05/10/2014,/amandarodriguesmusic?ref=ctrse_explore
105 pessoas,Meta R$ 32.000,R$ 35.560,Campanha Tudo-ou-nada , São Paulo	 SP,Grená_Primeiro Disco,111%,R$ 35.560,31/10/2018,/grena_disco?ref=ctrse_explore
232 pessoas,Meta R$ 16.500,R$ 35.547,Campanha Tudo-ou-nada , Juiz de Fora	 MG,Midgard: The Card Game,215%,R$ 35.547,06/08/2013,/Midgard?ref=ctrse_explore
367 pessoas,Meta R$ 35.000,R$ 35.520,Campanha Tudo-ou-nada , São Paulo	 SP,CarlosCareqa/PalavrãoCantado,101%,R$ 35.520,05/10/2013,/palavraocantado?ref=ctrse_explore
117 pessoas,Meta R$ 35.000,R$ 35.495,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Brimas,101%,R$ 35.495,27/10/2015,/brimas?ref=ctrse_explore
103 pessoas,Meta R$ 35.000,R$ 35.494,Campanha Tudo-ou-nada , São José dos Campos	 SP,As Copas da Copa,101%,R$ 35.494,30/08/2014,/ascopasdacopa?ref=ctrse_explore
618 pessoas,Meta R$ 26.000,R$ 35.479,Campanha Tudo-ou-nada , João Pessoa	 PB,Clara Carcosa,136%,R$ 35.479,31/08/2018,/claracarcosa?ref=ctrse_explore
483 pessoas,Meta R$ 14.300,R$ 35.460,Campanha Tudo-ou-nada , Brasília	 DF,Miniguia do Arquiteto Urbanista Recém-formado,247%,R$ 35.460,07/10/2018,/ominiguia?ref=ctrse_explore
84 pessoas,Meta R$ 35.000,R$ 35.440,Campanha Tudo-ou-nada , Blumenau	 SC,Gravação do CD de John Mueller - "Por um Fio",101%,R$ 35.440,08/08/2014,/johnmueller?ref=ctrse_explore
170 pessoas,Meta R$ 35.000,R$ 35.381,Campanha Tudo-ou-nada , Araucária	 PR, CD PAUSA - AIRÔ BARROS,101%,R$ 35.381,30/05/2015,/airobarrospausa?ref=ctrse_explore
856 pessoas,Meta R$ 22.500,R$ 35.373,Campanha Tudo-ou-nada , Volta Redonda	 RJ,Devaneios: A Estrada Até Aqui,157%,R$ 35.373,31/10/2018,/devaneios?ref=ctrse_explore
123 pessoas,Meta R$ 53.362,R$ 35.366,Campanha Flexível , Curitiba	 PR,Seja Parceiro do Espaço Excêntrico,66%,R$ 35.366,20/07/2016,/espacoexcentrico?ref=ctrse_explore
572 pessoas,Meta R$ 22.103,R$ 35.298,Campanha Tudo-ou-nada , São Paulo	 SP,Sweeney Todd | O livro original de 1846,159%,R$ 35.298,06/07/2018,/sweeney?ref=ctrse_explore
98 pessoas,Meta R$ 35.000,R$ 35.263,Campanha Tudo-ou-nada , São Paulo	 SP,Vai Quem Qué 35 anos | Carnaval 2015,100%,R$ 35.263,03/03/2015,/vqq35anos?ref=ctrse_explore
74 pessoas,Meta R$ 30.250,R$ 35.095,Campanha Tudo-ou-nada , Belo Horizonte	 MG,O Burrinho Sete de Ouros	 livro de Flávio Campos,116%,R$ 35.095,03/01/2018,/oburrinhosetedeouros?ref=ctrse_explore
218 pessoas,Meta R$ 26.500,R$ 35.067,Campanha Tudo-ou-nada , São Paulo	 SP,Vencendo a Mielo,132%,R$ 35.067,05/10/2016,/vencendoamielo?ref=ctrse_explore
16 pessoas,Meta R$ 116.854,R$ 35.050,Campanha Flexível , Rio de Janeiro	 RJ,Juntos ajustando as velas rumo a TOKYO 2020,29%,R$ 35.050,21/05/2019,/juntosnomesmobarco?ref=ctrse_explore
130 pessoas,Meta R$ 37.290,R$ 35.045,Campanha Flexível , Brumadinho	 MG,SAS Brasil em Brumadinho,93%,R$ 35.045,03/07/2019,/sasbrasilembrumadinho?ref=ctrse_explore
80 pessoas,Meta R$ 35.030,R$ 35.030,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Festa de Família" e "O Funeral,100%,R$ 35.030,16/11/2014,/festadefamiliaeofuneral?ref=ctrse_explore
217 pessoas,Meta R$ 8.500,R$ 35.028,Campanha Tudo-ou-nada , Recife	 PE,Meu Escudo	 Minhas Regras,412%,R$ 35.028,02/06/2018,/meu_escudo_minhas_regras_e3a8?ref=ctrse_explore
140 pessoas,Meta R$ 25.000,R$ 35.020,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,EAV Parque Lage :: Cavalariças 2013,140%,R$ 35.020,25/04/2013,/exposEAV2013?ref=ctrse_explore
174 pessoas,Meta R$ 27.500,R$ 35.005,Campanha Tudo-ou-nada , Curitiba	 PR,Weird Wars II,127%,R$ 35.005,12/05/2017,/weird_wars_ii?ref=ctrse_explore
360 pessoas,Meta R$ 27.500,R$ 34.930,Campanha Tudo-ou-nada , Curitiba	 PR,Do For Love Project - Faça Por Amor (LIVRO),127%,R$ 34.930,21/02/2016,/doforlove?ref=ctrse_explore
94 pessoas,Meta R$ 46.880,R$ 34.894,Campanha Flexível , Campinas	 SP,S.A.S. Brasil 4 :-) :-) :-) :-),74%,R$ 34.894,29/08/2016,/sasbrasil4?ref=ctrse_explore
178 pessoas,Meta R$ 30.000,R$ 34.806,Campanha Tudo-ou-nada , São Paulo	 SP,Mulheres e suas artes sagradas,116%,R$ 34.806,24/09/2018,/tatiwexler?ref=ctrse_explore
222 pessoas,Meta R$ 33.675,R$ 34.725,Campanha Tudo-ou-nada , Curitiba	 PR,FATO & convidados incríveis - DVD + álbum digital,103%,R$ 34.725,21/07/2017,/fatodvd?ref=ctrse_explore
431 pessoas,Meta R$ 30.000,R$ 34.723,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Tiny Little Bastards,115%,R$ 34.723,06/06/2016,/tiny_little_bastards?ref=ctrse_explore
